"country" "region" "year" "iso"
"Indonesia" "East Asia & Pacific" 1996 "IDN"
"Indonesia" "East Asia & Pacific" 1999 "IDN"
"Indonesia" "East Asia & Pacific" 2002 "IDN"
"Indonesia" "East Asia & Pacific" 2005 "IDN"
"Indonesia" "East Asia & Pacific" 2008 "IDN"
"Indonesia" "East Asia & Pacific" 2010 "IDN"
"Iran, Islamic Rep." "Middle East & North Africa" 1986 "IRN"
"Iran, Islamic Rep." "Middle East & North Africa" 1990 "IRN"
"Iran, Islamic Rep." "Middle East & North Africa" 1994 "IRN"
"Iran, Islamic Rep." "Middle East & North Africa" 1998 "IRN"
"Iran, Islamic Rep." "Middle East & North Africa" 2005 "IRN"
"Iraq" "Middle East & North Africa" 2006.8 "IRQ"
"Jamaica" "Latin America & Caribbean" 1988 "JAM"
"Jamaica" "Latin America & Caribbean" 1990 "JAM"
"Jamaica" "Latin America & Caribbean" 1993 "JAM"
"Jamaica" "Latin America & Caribbean" 1996 "JAM"
"Jamaica" "Latin America & Caribbean" 1999 "JAM"
"Jamaica" "Latin America & Caribbean" 2001 "JAM"
"Jamaica" "Latin America & Caribbean" 2002 "JAM"
"Jamaica" "Latin America & Caribbean" 2004 "JAM"
"Jordan" "Middle East & North Africa" 1986.5 "JOR"
"Jordan" "Middle East & North Africa" 1992 "JOR"
"Jordan" "Middle East & North Africa" 1997 "JOR"
"Jordan" "Middle East & North Africa" 2002.5 "JOR"
"Jordan" "Middle East & North Africa" 2006 "JOR"
"Jordan" "Middle East & North Africa" 2008 "JOR"
"Jordan" "Middle East & North Africa" 2010 "JOR"
"Kazakhstan" "Europe & Central Asia" 1988 "KAZ"
"Kazakhstan" "Europe & Central Asia" 1993 "KAZ"
"Kazakhstan" "Europe & Central Asia" 1996 "KAZ"
"Kazakhstan" "Europe & Central Asia" 2001 "KAZ"
"Kazakhstan" "Europe & Central Asia" 2002 "KAZ"
"Kazakhstan" "Europe & Central Asia" 2003 "KAZ"
"Kazakhstan" "Europe & Central Asia" 2004 "KAZ"
"Kazakhstan" "Europe & Central Asia" 2006 "KAZ"
"Kazakhstan" "Europe & Central Asia" 2007 "KAZ"
"Kazakhstan" "Europe & Central Asia" 2008 "KAZ"
"Kazakhstan" "Europe & Central Asia" 2009 "KAZ"
"Kenya" "Sub-Saharan Africa" 1992 "KEN"
"Kenya" "Sub-Saharan Africa" 1994 "KEN"
"Kenya" "Sub-Saharan Africa" 1997 "KEN"
"Kenya" "Sub-Saharan Africa" 2005.4 "KEN"
"Kyrgyz Republic" "Europe & Central Asia" 1988 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 1993 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 1998 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 2002 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 2004 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 2005 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 2006 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 2007 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 2008 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 2009 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 2010 "KGZ"
"Kyrgyz Republic" "Europe & Central Asia" 2011 "KGZ"
"Lao PDR" "East Asia & Pacific" 1992.2 "LAO"
"Lao PDR" "East Asia & Pacific" 1997.2 "LAO"
"Lao PDR" "East Asia & Pacific" 2002.2 "LAO"
